Affiliation,PIs,Cancer type 
"STUDY_DIRECTOR, Matjaz Zwitter, MD, PhD, Institute of Oncology Ljubljana","Matjaz Zwitter, MD, PhD",Lung cancer (Completed)
"STUDY_CHAIR, Kim N. Chi, MD, British Columbia Cancer Agency","Kim N. Chi, MD",Lung cancer (Completed)
"STUDY_CHAIR, David Hui, MD, The University of Texas MD Anderson Cancer Center","David Hui, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Joseph Leach, MD, HealthPartners Institute","Joseph Leach, MD",Lung cancer (Completed)
"STUDY_CHAIR, Mette Holst, PhD, Aalborg University Hospital","Mette Holst, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Vali Papadimitrakopoulou, MD, M.D. Anderson Cancer Center","Vali Papadimitrakopoulou, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Brenda Cartmel, PhD, Yale University","Brenda Cartmel, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Bhumsuk Keam, Ph.D, Seoul National University Hospital","Bhumsuk Keam, Ph.D",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ajay Bhatnagar, MD, University of Pittsburgh","Ajay Bhatnagar, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Frederic DUTHEIL, University Hospital, Clermont-Ferrand",Frederic DUTHEIL,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Janessa Laskin, M.D., BCCA, Vancouver Clinic","Janessa Laskin, M.D.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Marguerite Stas, MD, PhD, Universitaire Ziekenhuizen KU Leuven","Marguerite Stas, MD, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Konstantinos N Syrigos, MD,PhD, Non-Governmental, Non-Profit Organization","Konstantinos N Syrigos, MD,PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, Study Director, Takeda",Study Director,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Matthew M Hsieh, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Matthew M Hsieh, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lorenzo Cohen, M.D. Anderson Cancer Center",Lorenzo Cohen,Lung cancer (Completed)
"STUDY_CHAIR, Samir N. Khleif, MD, National Cancer Institute (NCI)","Samir N. Khleif, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Pallav Shah, MBBS, MD, Royal Brompton & Harefield NHS Foundation Trust","Pallav Shah, MBBS, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Steffen Simon, MD, MSC, King's College Hospital NHS Trust","Steffen Simon, MD, MSC",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Raffit Hassan, M.D., National Cancer Institute (NCI)","Raffit Hassan, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Simon Soudet, MD, CHU Amiens","Simon Soudet, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, John D. Hainsworth, MD, SCRI Development Innovations, LLC","John D. Hainsworth, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Katherine K. Matthay, MD, University of California, San Francisco","Katherine K. Matthay, MD",Lung cancer (Completed)
"STUDY_CHAIR, Nathan Levitan, MD, Case Comprehensive Cancer Center","Nathan Levitan, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, maha fathy, MD of chest, beni seuf unversity","maha fathy, MD of chest",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Ted A.W. Splinter, MD, University Medical Center Rotterdam at Erasmus Medical Center","Ted A.W. Splinter, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Swee Lay Thein, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Swee Lay Thein, M.D.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Ece BAYTOK, MsC., Gazi University|   PRINCIPAL_INVESTIGATOR, Zeliha ÇELİK, MsC., Gazi University|   PRINCIPAL_INVESTIGATOR, Merve ŞATIR TÜRK, MD., Gazi University|   PRINCIPAL_INVESTIGATOR, Ali ÇELİK, Assoc. Prof., Gazi University|   PRINCIPAL_INVESTIGATOR, İsmail Cüneyt KURUL, Prof. Dr., Gazi University|   STUDY_DIRECTOR, Meral Boşnak GÜÇLÜ, Prof. Dr., Gazi University","Ece BAYTOK, MsC.| Zeliha ÇELİK, MsC.| Merve ŞATIR TÜRK, MD.| Ali ÇELİK, Assoc. Prof.| İsmail Cüneyt KURUL, Prof. Dr.| Meral Boşnak GÜÇLÜ, Prof. Dr.",Lung cancer (Completed)
"STUDY_DIRECTOR, James Hart, M.D., Ethicon, Inc.","James Hart, M.D.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Boehringer Ingelheim, Boehringer Ingelheim",Boehringer Ingelheim,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Chia-Hsiang Li, Attending, China Medical University Hospital","Chia-Hsiang Li, Attending",Lung cancer (Completed)
"STUDY_CHAIR, Judith E. Karp, MD, Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","Judith E. Karp, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lonny Yarmus, DO, Johns Hopkins University","Lonny Yarmus, DO",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Agustin Garcia, University of Southern California",Agustin Garcia,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Daniel Franzen, MD, Division of Pulmonology","Daniel Franzen, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Chief Medical Officer, Tarveda Therapeutics",Chief Medical Officer,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Honar Cherif, MD, Ass prof, Department of Medical Sciences, Uppsala University|   STUDY_CHAIR, Thomas Silfverberg, MD, Center for Clinical Research Dalarna and Department of Medical Sciences-Uppsala University|   STUDY_CHAIR, Kristina Carlson, MD, Ass Prof, Department of Medical Sciences, Uppsala University","Honar Cherif, MD, Ass prof| Thomas Silfverberg, MD| Kristina Carlson, MD, Ass Prof",Lung cancer (Completed)
"STUDY_DIRECTOR, Antonio Lambiase, MD, AGC Biologics S.p.A.","Antonio Lambiase, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Bristol-Myers Squibb, Bristol-Myers Squibb",Bristol-Myers Squibb,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Elias Matouk, MD, Montreal Chest Institute","Elias Matouk, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Budhi S Yadav, MD, PGIMER, Chandigarh, India","Budhi S Yadav, MD",Lung cancer (Completed)
"STUDY_CHAIR, Fu-Chang Tsai, National Taiwan University Hospital",Fu-Chang Tsai,Lung cancer (Completed)
"STUDY_CHAIR, Di Ge, Ph.D;M.D, Zhongshan Hospital, Fudan University, Shanghai, China","Di Ge, Ph.D;M.D",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, James Welsh, MD, M.D. Anderson Cancer Center","James Welsh, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Allan Linneberg, Research Centre for Prevention and Health",Allan Linneberg,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Chandra Belani, Penn State Hershey Cancer Institute",Chandra Belani,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, A. John Barrett, M.D., National Heart, Lung, and Blood Institute (NHLBI)","A. John Barrett, M.D.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, David Jackman, MD, Dana-Farber Cancer Institute","David Jackman, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Arne Søraas, MD, PhD, Oslo University Hospital","Arne Søraas, MD, PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, MUSTAFA KEMAL SAHIN, Dr, Ankara Oncology Education and Research Hospital Clinic of Anesthesiology and Reanimation","MUSTAFA KEMAL SAHIN, Dr",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Fu-Tsai Chung, M.D., Chang Gung Memorial Hospital","Fu-Tsai Chung, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jamie Ostroff, PhD, Memorial Sloan Kettering Cancer Center","Jamie Ostroff, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Terry Noah, MD, University of North Carolina at Chapel Hill School of Medicine","Terry Noah, MD",Lung cancer (Completed)
"STUDY_CHAIR, Deborah J. Dudgeon, MD, RN, Cancer Research Institute at Queen's University","Deborah J. Dudgeon, MD, RN",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, David HUPIN, MD, CHU SAINT-ETIENNE","David HUPIN, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Director, Merck Sharp & Dohme LLC",Medical Director,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Yaron Shargall, MD BSc, St. Joseph's Healthcare Hamilton","Yaron Shargall, MD BSc",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Bernard Park, MD, Hackensack Meridian Health|   PRINCIPAL_INVESTIGATOR, John Snider, MD, Dean Foundation for Health, Research and Education, Inc","Bernard Park, MD| John Snider, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Brian Druker, MD, OHSU Knight Cancer Institute","Brian Druker, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Bayer Study Director, Bayer",Bayer Study Director,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Chia-Chin Lin, PhD, The University of Hong Kong","Chia-Chin Lin, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Toshimitsu Tokimoto, AstraZeneca KK",Toshimitsu Tokimoto,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Eugenia Eng, MPH, DrPH, University of North Carolina, Chapel Hill|   PRINCIPAL_INVESTIGATOR, Samuel Cykert, MD, University of North Carolina, Chapel Hill","Eugenia Eng, MPH, DrPH| Samuel Cykert, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Anurag Singh, Roswell Park Cancer Institute",Anurag Singh,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Mariana S Araujo, MD, Pulmonary Division, Heart Institute (InCor), University of Sao Paulo Medical School|   PRINCIPAL_INVESTIGATOR, Carlos RR Carvalho, PhD, Pulmonary Division, Heart Institute (InCor), University of Sao Paulo Medical School","Mariana S Araujo, MD| Carlos RR Carvalho, PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Charles Cleeland, PhD, M.D. Anderson Cancer Center","Charles Cleeland, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Roman Perez-Soler, Albert Einstein College of Medicine",Roman Perez-Soler,Lung cancer (Completed)
"STUDY_CHAIR, Boehringer Ingelheim, Boehringer Ingelheim",Boehringer Ingelheim,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ross D Camidge, MD, PhD, University of Colorado, Denver","Ross D Camidge, MD, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Zhongxing Liao, MD, M.D. Anderson Cancer Center","Zhongxing Liao, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Global Clinical Leader, Daiichi Sankyo, Inc.",Global Clinical Leader,Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Monitor, OSI Pharmaceuticals",Medical Monitor,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Stephen McRae, MD, UT MD Anderson Cancer Center","Stephen McRae, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Robin Wijsman, UMCG",Robin Wijsman,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Sang-We Kim, MD, Asan Medical Center","Sang-We Kim, MD",Lung cancer (Completed)
"STUDY_CHAIR, Richard E. Harris, MD, Children's Hospital Medical Center, Cincinnati","Richard E. Harris, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lorraine Pelosof, M.D., UT Southwestern Medical Center","Lorraine Pelosof, M.D.",Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Director, Genmab",Medical Director,Lung cancer (Completed)
"STUDY_CHAIR, Muzaffar H. Qazilbash, MD, UT MD Anderson Cancer Center","Muzaffar H. Qazilbash, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Donald Lawrence, Massachusetts General Hospital",Donald Lawrence,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Osama ABOU ARAB, MD, CHU Amiens","Osama ABOU ARAB, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Leighton Chan, M.D., National Institutes of Health Clinical Center (CC)","Leighton Chan, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Anand Swaminath, Ontario Clinical Oncology Group (OCOG)|   PRINCIPAL_INVESTIGATOR, Tim Whelan, Ontario Clinical Oncology Group (OCOG)",Anand Swaminath| Tim Whelan,Lung cancer (Completed)
"STUDY_DIRECTOR, ICD CSD, Sanofi",ICD CSD,Lung cancer (Completed)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Leonardo Faoro, M.D., Genentech, Inc.","Leonardo Faoro, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Sebastien Hotte, University Health Network-Princess Margaret Hospital",Sebastien Hotte,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jose Luis Mateos, MD, PhD, Universidad Autonoma de Madrid","Jose Luis Mateos, MD, PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"STUDY_CHAIR, Abraham Chachoua, MD, NYU Langone Health","Abraham Chachoua, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Samuel Z. Goldhaber, MD, Brigham and Women's Hospital","Samuel Z. Goldhaber, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Uta Dirksen, Prof MD, University Hospital, Essen|   STUDY_CHAIR, Alan W Craft, Prof Sir MD, Royal Victoria Infirmary|   STUDY_CHAIR, Heribert Jürgens, Prof MD, University Hospital Muenster","Uta Dirksen, Prof MD| Alan W Craft, Prof Sir MD| Heribert Jürgens, Prof MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lee Krug, Memorial Sloan Kettering Cancer Center",Lee Krug,Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Director, Merck Sharp & Dohme LLC",Medical Director,Lung cancer (Completed)
"STUDY_CHAIR, John J. Rinehart, MD, University of Alabama at Birmingham","John J. Rinehart, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Arun Rajan, M.D., National Cancer Institute (NCI)","Arun Rajan, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Nadine Abi-Jaoudeh, MD, University of California, Irvine","Nadine Abi-Jaoudeh, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Andreas Hochhaus, Prof., Jena University Hospital","Andreas Hochhaus, Prof.",Lung cancer (Completed)
"STUDY_DIRECTOR, Yasir Nagarwala, MD, Sanofi","Yasir Nagarwala, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Andreas Charalambous, andreas.charalambous@cut.ac.cy",Andreas Charalambous,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Thais A Almeida, MD, Liga Paranaense de Combate ao Cancer","Thais A Almeida, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Passi A Janne, MD, PhD, Dana-Farber Cancer Institute","Passi A Janne, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Nicolas CORMIER, MD, Nantes University Hospital","Nicolas CORMIER, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Bristol-Myers Squibb, Bristol-Myers Squibb",Bristol-Myers Squibb,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Clifford R Weiss, M.D., Johns Hopkins University","Clifford R Weiss, M.D.",Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
"STUDY_CHAIR, Filippo De Marinis, MD, Azienda Ospedaliera San Camillo Forlanini","Filippo De Marinis, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Raffit Hassan, M.D., National Cancer Institute (NCI)","Raffit Hassan, M.D.",Lung cancer (Completed)
"STUDY_DIRECTOR, Lea Bentur, MD, Rambam Health Care Campus","Lea Bentur, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Heidi C Roberts, MD, University Health Network, Toronto","Heidi C Roberts, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Robert A. Kratzke, MD, Masonic Cancer Center, University of Minnesota","Robert A. Kratzke, MD",Lung cancer (Completed)
"STUDY_CHAIR, Aminah Jatoi, MD, Mayo Clinic","Aminah Jatoi, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Affairs, Sanofi",Medical Affairs,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Chang-Min Cho, Ph. D, Asan Medical Center","Chang-Min Cho, Ph. D",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Kathleen D Lyons, ScD, Dartmouth-Hitchcock Medical Center|   PRINCIPAL_INVESTIGATOR, David J Finley, MD, Dartmouth-Hitchcock Medical Center","Kathleen D Lyons, ScD| David J Finley, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Mohamed E Hassan, MS, National Cancer Institute - Vairo University - Egypt","Mohamed E Hassan, MS",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Xin Shelley Wang, MD, M.D. Anderson Cancer Center","Xin Shelley Wang, MD",Lung cancer (Completed)
"STUDY_CHAIR, Todd L. Demmy, MD, Roswell Park Cancer Institute","Todd L. Demmy, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Thomas Stinchcombe, MD, Duke University","Thomas Stinchcombe, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ramona L Rhodes, MD, MPH, UT Southwestern Medical Center","Ramona L Rhodes, MD, MPH",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Renato V. LaRocca, MD, Kentuckiana Cancer Institute","Renato V. LaRocca, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Hanady Hamdallah, PhD, University of Chester","Hanady Hamdallah, PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, MD, Amgen",MD,Lung cancer (Completed)
"STUDY_CHAIR, Antonius A. Miller, MD, Wake Forest University Health Sciences","Antonius A. Miller, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, David Amar, MD, Memorial Sloan Kettering Cancer Center","David Amar, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Lee R Morgan, MD, PhD, DEKK-TEC, Inc.","Lee R Morgan, MD, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Robert Vonderheide, MD, Abramson Cancer Center at Penn Medicine","Robert Vonderheide, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Yasir Nagarwala, MD, Sanofi","Yasir Nagarwala, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Yongchang C Zhang, MD, Hunan Cancer Hospital","Yongchang C Zhang, MD",Lung cancer (Completed)
"STUDY_CHAIR, Jean Marc Phelip, MD, PhD, University Hospital, Grenoble","Jean Marc Phelip, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Yolonda Colson, MD, PhD, Dana Faber Cancer Institute / Brigham and Women's Hospital","Yolonda Colson, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Kristel Marquet, drs, Hasselt University|   STUDY_CHAIR, Arthur Vleugels, prof. dr., KU Leuven","Kristel Marquet, drs| Arthur Vleugels, prof. dr.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Completed)
"STUDY_CHAIR, David S. Schrump, National Cancer Institute (NCI)",David S. Schrump,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jae Ill Zo, MD, PhD, National Cancer Center, Korea","Jae Ill Zo, MD, PhD",Lung cancer (Completed)
"STUDY_CHAIR, James J. Urbanic, MD, Wake Forest University Health Sciences","James J. Urbanic, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Jay M. Lee, MD, Jonsson Comprehensive Cancer Center","Jay M. Lee, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Andrei M Iagaru, MD, Stanford University","Andrei M Iagaru, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Philip Breitfeld, MD, EMD Serono, Inc., Rockland MA, a subsidiary of Merck KGaA, Darmstadt, Germany","Philip Breitfeld, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Pierre Fournel, Dr, Intergroupe Francophone de Cancerologie Thoracique","Pierre Fournel, Dr",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Milind D. Ronghe, MD, Royal Hospital for Sick Children","Milind D. Ronghe, MD",Lung cancer (Completed)
"STUDY_CHAIR, Siow M Lee, MD, PhD, FRCP, University College London Hospitals","Siow M Lee, MD, PhD, FRCP",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Anna Giuliano, PhD, Moffitt Cancer Center","Anna Giuliano, PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, Bristol-Myers Squibb, Bristol-Myers Squibb",Bristol-Myers Squibb,Lung cancer (Completed)
"STUDY_DIRECTOR, Bristol Myers Squibb, Bristol-Myers Squibb",Bristol Myers Squibb,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Robert J. Cerfolio, MD, University of Alabama in Birmingham|   PRINCIPAL_INVESTIGATOR, Daniel L. Miller, MD, WellStar Research Institute","Robert J. Cerfolio, MD| Daniel L. Miller, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Alexander Drilon, MD, Memorial Sloan Kettering Cancer Center","Alexander Drilon, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jing Zeng, Fred Hutchinson Cancer Research Center/University of Washington Cancer Consortium",Jing Zeng,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Issa F. Khouri, MD,BS, M.D. Anderson Cancer Center","Issa F. Khouri, MD,BS",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Maximilian Diehn, MD, PhD, Stanford University|   PRINCIPAL_INVESTIGATOR, Bill Loo, MD, PhD, Stanford University","Maximilian Diehn, MD, PhD| Bill Loo, MD, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, John Caminis, MD, Shire","John Caminis, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Colin Broom, MD, Pulmotect, Inc.","Colin Broom, MD",Lung cancer (Completed)
"STUDY_CHAIR, Young-Chul Kim, MD, PhD, Chonnam National University Hospital","Young-Chul Kim, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Franco Carli, M.D., Montreal University Health Centre","Franco Carli, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lori Wiener, Ph.D., National Cancer Institute (NCI)","Lori Wiener, Ph.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ajay Vora, MD, Prof., Great Ormond Street Hospital NHS Trust","Ajay Vora, MD, Prof.",Lung cancer (Completed)
"STUDY_CHAIR, Jens B Sorensen, MD, Dept. Oncology, Rigshospitalet","Jens B Sorensen, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Mihail Obrocea, MD, Abbott","Mihail Obrocea, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, ayse cinar, chief of anesthesia department",ayse cinar,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Gregory Daniels, M.D., University of California, San Diego","Gregory Daniels, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Judy Wang, MD, SCRI - Florida Cancer Specialists - Sarasota Cattlemen Office (Coordinating Investigator)","Judy Wang, MD",Lung cancer (Completed)
